wrinkle,tone,elasticity,moisture,skinage
69 ,76 ,82 ,73 ,20 
29 ,36 ,25 ,24 ,73 
78 ,63 ,84 ,70 ,19 
54 ,54 ,56 ,54 ,40 
31 ,22 ,23 ,29 ,71 
79 ,70 ,78 ,77 ,21 
55 ,71 ,69 ,72 ,32 
31 ,35 ,27 ,36 ,57 
55 ,52 ,58 ,49 ,38 
43 ,39 ,42 ,34 ,64 
24 ,22 ,26 ,32 ,71 
56 ,62 ,65 ,52 ,24 
62 ,55 ,63 ,61 ,25 
68 ,67 ,61 ,60 ,29 
67 ,67 ,64 ,60 ,30 
68 ,60 ,73 ,60 ,30 
66 ,67 ,60 ,71 ,31 
31 ,35 ,42 ,31 ,60 
66 ,64 ,61 ,69 ,30 
75 ,69 ,75 ,84 ,21 
20 ,32 ,25 ,25 ,70 
75 ,73 ,76 ,74 ,19 
26 ,25 ,29 ,30 ,73 
43 ,30 ,37 ,30 ,60 
45 ,50 ,44 ,39 ,49 
71 ,79 ,77 ,68 ,19 
19 ,31 ,25 ,23 ,70 
31 ,36 ,42 ,33 ,61 
44 ,45 ,40 ,37 ,46 
68 ,67 ,67 ,56 ,29 
31 ,32 ,30 ,32 ,56 
79 ,76 ,60 ,75 ,17 
58 ,71 ,68 ,61 ,30 
33 ,42 ,32 ,29 ,59 
27 ,26 ,22 ,17 ,68 
27 ,19 ,31 ,33 ,73 
53 ,46 ,59 ,65 ,41 
43 ,27 ,35 ,31 ,59 
66 ,55 ,51 ,66 ,24 
75 ,80 ,79 ,78 ,23 
44 ,45 ,45 ,44 ,49 
44 ,58 ,56 ,53 ,38 
62 ,69 ,56 ,77 ,31 
48 ,60 ,54 ,61 ,41 
37 ,24 ,36 ,25 ,56 
77 ,71 ,74 ,70 ,18 
34 ,23 ,16 ,27 ,70 
45 ,52 ,47 ,49 ,53 
31 ,26 ,26 ,13 ,69 
21 ,22 ,33 ,31 ,71 
19 ,33 ,22 ,31 ,71 
23 ,31 ,24 ,28 ,72 
80 ,78 ,75 ,72 ,21 
69 ,70 ,68 ,66 ,33 
31 ,36 ,26 ,36 ,57 
29 ,30 ,23 ,26 ,72 
28 ,24 ,26 ,33 ,73 
64 ,62 ,70 ,64 ,30 
45 ,50 ,45 ,46 ,52 
46 ,35 ,45 ,52 ,49 
51 ,64 ,66 ,62 ,26 
29 ,17 ,28 ,15 ,67 
56 ,55 ,53 ,61 ,41 
58 ,64 ,61 ,64 ,47 
24 ,22 ,38 ,28 ,73 
63 ,65 ,71 ,51 ,28 
26 ,24 ,33 ,33 ,74 
35 ,35 ,30 ,46 ,62 
64 ,65 ,64 ,67 ,30 
41 ,42 ,43 ,42 ,47 
58 ,65 ,62 ,63 ,27 
81 ,79 ,72 ,71 ,20 
68 ,64 ,75 ,69 ,34 
51 ,36 ,30 ,41 ,64 
53 ,49 ,56 ,59 ,39 
19 ,21 ,21 ,18 ,65 
45 ,41 ,47 ,43 ,49 
33 ,19 ,26 ,33 ,73 
14 ,31 ,25 ,30 ,70 
61 ,70 ,72 ,73 ,34 
44 ,40 ,51 ,47 ,50 
39 ,35 ,36 ,33 ,61 
20 ,28 ,34 ,23 ,71 
28 ,36 ,37 ,36 ,59 
73 ,73 ,73 ,72 ,18 
25 ,25 ,31 ,19 ,70 
17 ,31 ,28 ,23 ,70 
56 ,58 ,50 ,46 ,38 
62 ,72 ,64 ,67 ,31 
31 ,34 ,34 ,34 ,58 
23 ,25 ,31 ,25 ,71 
43 ,49 ,44 ,36 ,48 
58 ,74 ,73 ,71 ,34 
58 ,54 ,49 ,49 ,37 
72 ,82 ,68 ,79 ,20 
26 ,35 ,30 ,40 ,58 
77 ,73 ,78 ,77 ,21 
29 ,27 ,27 ,32 ,74 
60 ,61 ,54 ,60 ,43 
29 ,33 ,37 ,37 ,59 
43 ,42 ,41 ,49 ,49 
67 ,58 ,72 ,64 ,30 
32 ,40 ,30 ,35 ,59 
78 ,74 ,76 ,80 ,22 
60 ,54 ,55 ,58 ,42 
16 ,19 ,21 ,22 ,65 
32 ,28 ,37 ,34 ,58 
23 ,19 ,17 ,29 ,67 
48 ,44 ,44 ,52 ,52 
37 ,30 ,31 ,31 ,57 
33 ,20 ,29 ,26 ,72 
44 ,47 ,44 ,52 ,52 
48 ,42 ,41 ,44 ,49 
31 ,30 ,45 ,39 ,61 
62 ,59 ,64 ,63 ,27 
23 ,20 ,25 ,28 ,69 
83 ,79 ,76 ,68 ,22 
49 ,51 ,54 ,59 ,38 
77 ,73 ,80 ,83 ,23 
55 ,55 ,65 ,59 ,43 
72 ,79 ,83 ,75 ,22 
44 ,48 ,40 ,46 ,50 
56 ,57 ,56 ,62 ,43 
52 ,57 ,45 ,58 ,38 
19 ,37 ,24 ,21 ,70 
72 ,59 ,62 ,73 ,32 
50 ,62 ,58 ,56 ,42 
60 ,68 ,64 ,56 ,27 
34 ,32 ,39 ,34 ,60 
63 ,52 ,55 ,59 ,42 
29 ,36 ,36 ,38 ,60 
67 ,65 ,72 ,63 ,32 
48 ,56 ,47 ,43 ,53 
49 ,63 ,56 ,64 ,43 
46 ,46 ,49 ,42 ,51 
58 ,62 ,60 ,66 ,27 
45 ,46 ,52 ,46 ,52 
50 ,45 ,50 ,45 ,52 
15 ,35 ,20 ,27 ,69 
40 ,39 ,53 ,43 ,49 
60 ,64 ,66 ,61 ,28 
37 ,35 ,31 ,41 ,61 
52 ,56 ,52 ,57 ,39 
45 ,38 ,40 ,40 ,46 
42 ,51 ,46 ,39 ,49 
68 ,63 ,58 ,67 ,29 
52 ,52 ,68 ,55 ,42 
79 ,90 ,79 ,73 ,25 
56 ,61 ,64 ,57 ,45 
34 ,33 ,35 ,32 ,58 
40 ,36 ,44 ,31 ,63 
47 ,50 ,45 ,55 ,54 
45 ,36 ,36 ,42 ,65 
31 ,29 ,28 ,32 ,75 
61 ,71 ,64 ,68 ,31 
71 ,81 ,70 ,78 ,20 
69 ,60 ,57 ,65 ,28 
46 ,46 ,46 ,52 ,53 
20 ,17 ,19 ,19 ,64 
27 ,28 ,27 ,27 ,72 
77 ,82 ,83 ,74 ,24 
69 ,80 ,78 ,73 ,20 
68 ,72 ,66 ,66 ,33 
79 ,74 ,83 ,79 ,24 
56 ,47 ,59 ,54 ,39 
17 ,31 ,27 ,12 ,67 
64 ,50 ,61 ,52 ,42 
47 ,47 ,50 ,43 ,51 
32 ,24 ,32 ,29 ,74 
75 ,68 ,78 ,70 ,18 
51 ,40 ,46 ,44 ,50 
82 ,71 ,70 ,73 ,19 
79 ,74 ,75 ,81 ,22 
70 ,58 ,66 ,66 ,30 
31 ,25 ,22 ,24 ,71 
56 ,58 ,68 ,57 ,25 
41 ,51 ,39 ,47 ,50 
42 ,34 ,37 ,42 ,64 
29 ,30 ,43 ,34 ,59 
54 ,63 ,59 ,59 ,44 
23 ,23 ,12 ,24 ,66 
26 ,24 ,21 ,28 ,70 
78 ,74 ,83 ,71 ,22 
47 ,45 ,40 ,47 ,50 
64 ,57 ,72 ,68 ,30 
67 ,66 ,63 ,68 ,31 
23 ,27 ,25 ,26 ,70 
35 ,33 ,39 ,38 ,61 
74 ,68 ,76 ,70 ,17 
48 ,47 ,46 ,39 ,50 
39 ,33 ,30 ,39 ,60 
44 ,42 ,46 ,37 ,47 
58 ,53 ,57 ,52 ,40 
57 ,53 ,47 ,58 ,39 
24 ,19 ,28 ,16 ,67 
54 ,52 ,57 ,61 ,41 
53 ,55 ,60 ,58 ,42 
25 ,28 ,34 ,23 ,72 
68 ,70 ,65 ,68 ,33 
60 ,47 ,51 ,59 ,39 
52 ,37 ,42 ,41 ,48 
42 ,49 ,45 ,49 ,51 
38 ,28 ,38 ,30 ,59 
58 ,62 ,58 ,57 ,44 
50 ,42 ,59 ,62 ,38 
36 ,39 ,35 ,37 ,62 
47 ,42 ,48 ,43 ,50 
55 ,56 ,53 ,53 ,39 
41 ,43 ,50 ,50 ,51 
33 ,39 ,34 ,40 ,61 
77 ,79 ,77 ,74 ,22 
68 ,70 ,61 ,69 ,32 
48 ,49 ,44 ,56 ,54 
38 ,31 ,33 ,38 ,60 
40 ,29 ,39 ,37 ,61 
38 ,30 ,25 ,33 ,57 
47 ,39 ,38 ,37 ,45 
55 ,45 ,50 ,51 ,55 
47 ,44 ,40 ,42 ,48 
32 ,33 ,39 ,41 ,61 
52 ,47 ,52 ,61 ,38 
43 ,41 ,26 ,32 ,61 
77 ,74 ,73 ,78 ,20 
80 ,78 ,80 ,74 ,23 
47 ,49 ,58 ,55 ,37 
57 ,50 ,59 ,59 ,41 
44 ,57 ,35 ,41 ,49 
27 ,39 ,31 ,28 ,76 
70 ,78 ,69 ,73 ,18 
35 ,45 ,29 ,31 ,60 
53 ,61 ,57 ,55 ,42 
72 ,59 ,69 ,61 ,30 
46 ,38 ,31 ,47 ,66 
58 ,45 ,61 ,49 ,38 
71 ,55 ,59 ,55 ,45 
16 ,17 ,32 ,22 ,67 
23 ,23 ,20 ,29 ,69 
36 ,23 ,36 ,36 ,58 
70 ,66 ,71 ,65 ,33 
22 ,23 ,25 ,20 ,68 
71 ,76 ,83 ,76 ,22 
56 ,52 ,47 ,50 ,36 
74 ,77 ,81 ,81 ,23 
57 ,57 ,54 ,56 ,41 
30 ,38 ,35 ,34 ,59 
80 ,67 ,78 ,72 ,19 
45 ,41 ,49 ,50 ,51 
52 ,51 ,50 ,53 ,37 
82 ,74 ,71 ,85 ,23 
36 ,39 ,50 ,45 ,47 
33 ,25 ,35 ,32 ,56 
46 ,41 ,34 ,29 ,42 
62 ,67 ,66 ,73 ,32 
30 ,34 ,26 ,38 ,57 
27 ,26 ,25 ,23 ,70 
30 ,42 ,33 ,38 ,61 
70 ,59 ,52 ,55 ,44 
47 ,40 ,47 ,41 ,49 
37 ,25 ,21 ,18 ,70 
38 ,32 ,37 ,33 ,60 
32 ,36 ,47 ,31 ,61 
79 ,74 ,77 ,74 ,21 
51 ,54 ,61 ,47 ,38 
61 ,73 ,72 ,71 ,34 
46 ,46 ,39 ,43 ,48 
32 ,31 ,27 ,29 ,75 
49 ,61 ,49 ,61 ,40 
34 ,37 ,44 ,29 ,61 
19 ,17 ,22 ,27 ,66 
33 ,25 ,22 ,29 ,72 
24 ,22 ,16 ,22 ,66 
70 ,69 ,66 ,61 ,31 
34 ,16 ,19 ,23 ,68 
33 ,36 ,36 ,34 ,60 
51 ,44 ,59 ,62 ,39 
51 ,65 ,54 ,54 ,41 
22 ,22 ,25 ,31 ,70 
53 ,56 ,55 ,56 ,40 
46 ,41 ,51 ,54 ,53 
83 ,72 ,73 ,72 ,20 
62 ,71 ,70 ,65 ,32 
51 ,59 ,55 ,58 ,41 
31 ,39 ,37 ,41 ,62 
19 ,23 ,33 ,23 ,69 
72 ,71 ,66 ,68 ,14 
42 ,46 ,45 ,52 ,51 
40 ,43 ,48 ,38 ,47 
59 ,64 ,63 ,62 ,27 
62 ,62 ,68 ,67 ,30 
48 ,50 ,39 ,41 ,50 
31 ,24 ,24 ,17 ,69 
56 ,54 ,49 ,54 ,38 
35 ,25 ,22 ,33 ,54 
62 ,66 ,59 ,58 ,26 
48 ,47 ,53 ,53 ,35 
81 ,66 ,80 ,72 ,20 
62 ,62 ,73 ,72 ,32 
34 ,29 ,44 ,35 ,60 
28 ,38 ,28 ,34 ,57 
81 ,75 ,78 ,66 ,20 
36 ,32 ,32 ,34 ,58 
60 ,63 ,56 ,48 ,42 
43 ,48 ,38 ,43 ,48 
46 ,46 ,40 ,44 ,49 
45 ,55 ,50 ,39 ,52 
17 ,32 ,28 ,23 ,70 
64 ,59 ,59 ,64 ,27 
36 ,32 ,35 ,33 ,59 
63 ,62 ,68 ,73 ,31 
17 ,28 ,22 ,19 ,66 
71 ,82 ,80 ,75 ,22 
53 ,58 ,55 ,61 ,42 
46 ,41 ,38 ,40 ,46 
37 ,37 ,37 ,36 ,62 
39 ,43 ,50 ,50 ,51 
53 ,46 ,49 ,55 ,36 
46 ,40 ,41 ,36 ,45 
22 ,27 ,25 ,28 ,70 
23 ,22 ,18 ,26 ,67 
21 ,24 ,20 ,18 ,66 
60 ,57 ,61 ,59 ,44 
33 ,31 ,29 ,37 ,58 
80 ,76 ,75 ,69 ,20 
66 ,70 ,72 ,68 ,34 
33 ,41 ,36 ,38 ,62 
68 ,65 ,63 ,61 ,29 
56 ,51 ,56 ,48 ,38 
58 ,47 ,49 ,50 ,36 
61 ,51 ,58 ,56 ,41 
37 ,39 ,47 ,45 ,47 
49 ,41 ,48 ,39 ,49 
20 ,24 ,20 ,29 ,68 
45 ,47 ,44 ,43 ,50 
46 ,59 ,57 ,55 ,39 
80 ,73 ,72 ,75 ,20 
65 ,64 ,47 ,59 ,43 
55 ,47 ,53 ,49 ,36 
25 ,32 ,20 ,25 ,70 
51 ,59 ,53 ,50 ,38 
61 ,47 ,60 ,53 ,40 
47 ,36 ,38 ,53 ,48 
82 ,72 ,77 ,80 ,23 
56 ,61 ,53 ,49 ,40 
28 ,20 ,34 ,40 ,55 
37 ,38 ,34 ,34 ,61 
59 ,47 ,50 ,51 ,37 
28 ,16 ,20 ,22 ,66 
45 ,41 ,40 ,44 ,48 
77 ,80 ,71 ,73 ,20 
48 ,65 ,56 ,56 ,41 
82 ,83 ,73 ,75 ,23 
29 ,33 ,34 ,35 ,58 
45 ,45 ,43 ,52 ,51 
65 ,65 ,61 ,63 ,28 
80 ,75 ,81 ,79 ,24 
58 ,43 ,47 ,59 ,37 
55 ,57 ,58 ,55 ,41 
74 ,77 ,69 ,68 ,17 
64 ,83 ,75 ,76 ,20 
53 ,48 ,52 ,54 ,37 
59 ,44 ,40 ,42 ,51 
56 ,53 ,57 ,52 ,39 
48 ,59 ,49 ,51 ,57 
65 ,54 ,55 ,54 ,42 
29 ,25 ,29 ,29 ,73 
47 ,57 ,47 ,50 ,35 
68 ,70 ,57 ,72 ,32 
69 ,63 ,69 ,63 ,31 
55 ,62 ,54 ,61 ,43 
73 ,72 ,76 ,82 ,21 
59 ,54 ,66 ,57 ,44 
30 ,39 ,43 ,35 ,62 
38 ,47 ,42 ,36 ,46 
29 ,25 ,26 ,26 ,72 
58 ,61 ,63 ,71 ,28 
69 ,65 ,72 ,67 ,33 
46 ,39 ,44 ,50 ,50 
78 ,83 ,74 ,76 ,23 
66 ,54 ,57 ,56 ,43 
49 ,36 ,45 ,43 ,48 
35 ,34 ,29 ,29 ,57 
22 ,17 ,25 ,33 ,69 
67 ,65 ,61 ,70 ,31 
36 ,39 ,36 ,38 ,62 
23 ,14 ,27 ,32 ,69 
76 ,73 ,73 ,72 ,18 
76 ,68 ,80 ,75 ,20 
24 ,29 ,20 ,28 ,70 
42 ,23 ,34 ,32 ,58 
67 ,79 ,81 ,71 ,19 
68 ,70 ,60 ,62 ,30 
34 ,38 ,41 ,35 ,62 
55 ,38 ,35 ,42 ,47 
32 ,31 ,25 ,41 ,57 
33 ,43 ,32 ,35 ,61 
28 ,20 ,23 ,27 ,70 
69 ,80 ,68 ,66 ,36 
47 ,58 ,41 ,47 ,53 
77 ,78 ,77 ,80 ,23 
36 ,48 ,40 ,40 ,46 
55 ,52 ,45 ,46 ,55 
30 ,34 ,30 ,34 ,57 
65 ,62 ,57 ,63 ,27 
58 ,62 ,53 ,45 ,39 
33 ,28 ,26 ,34 ,55 
74 ,74 ,67 ,77 ,18 
74 ,81 ,72 ,76 ,21 
29 ,33 ,22 ,35 ,55 
62 ,59 ,64 ,65 ,27 
36 ,40 ,43 ,39 ,65 
74 ,75 ,68 ,68 ,16 
42 ,36 ,47 ,45 ,48 
76 ,74 ,72 ,72 ,18 
61 ,65 ,63 ,55 ,26 
57 ,61 ,56 ,60 ,44 
57 ,50 ,58 ,54 ,40 
53 ,52 ,62 ,63 ,42 
30 ,35 ,33 ,34 ,58 
38 ,41 ,30 ,24 ,58 
46 ,36 ,51 ,39 ,48 
70 ,78 ,70 ,75 ,18 
31 ,24 ,19 ,24 ,69 
20 ,24 ,25 ,26 ,69 
26 ,24 ,26 ,20 ,69 
69 ,70 ,70 ,63 ,33 
39 ,56 ,45 ,39 ,50 
37 ,28 ,34 ,32 ,58 
40 ,36 ,31 ,37 ,61 
52 ,37 ,47 ,33 ,47 
40 ,37 ,39 ,34 ,63 
51 ,45 ,50 ,43 ,52 
54 ,52 ,44 ,41 ,53 
36 ,30 ,32 ,40 ,59 
64 ,67 ,68 ,67 ,31 
59 ,55 ,70 ,71 ,29 
65 ,68 ,61 ,74 ,32 
41 ,36 ,39 ,37 ,63 
49 ,43 ,57 ,37 ,52 
22 ,24 ,20 ,24 ,68 
70 ,65 ,63 ,56 ,29 
68 ,67 ,70 ,61 ,32 
46 ,38 ,45 ,44 ,48 
32 ,31 ,39 ,27 ,57 
38 ,33 ,39 ,41 ,63 
38 ,33 ,27 ,40 ,59 
71 ,83 ,69 ,76 ,20 
53 ,60 ,55 ,67 ,44 
29 ,32 ,28 ,20 ,72 
78 ,77 ,73 ,65 ,18 
30 ,31 ,38 ,42 ,60 
79 ,74 ,69 ,85 ,22 
51 ,48 ,45 ,47 ,53 
30 ,32 ,36 ,33 ,58 
34 ,37 ,31 ,43 ,61 
27 ,25 ,33 ,14 ,70 
42 ,28 ,33 ,33 ,59 
70 ,57 ,64 ,59 ,27 
81 ,78 ,76 ,78 ,23 
21 ,18 ,23 ,24 ,67 
77 ,88 ,74 ,75 ,23 
70 ,61 ,60 ,59 ,28 
80 ,74 ,76 ,75 ,21 
38 ,39 ,39 ,33 ,62 
26 ,23 ,31 ,27 ,72 
55 ,61 ,58 ,50 ,41 
58 ,51 ,58 ,59 ,42 
40 ,50 ,40 ,45 ,49 
56 ,47 ,43 ,35 ,50 
27 ,28 ,24 ,26 ,71 
70 ,78 ,73 ,77 ,20 
63 ,63 ,70 ,58 ,28 
44 ,44 ,42 ,48 ,49 
80 ,74 ,77 ,69 ,20 
78 ,77 ,75 ,82 ,23 
76 ,73 ,67 ,85 ,20 
34 ,41 ,32 ,39 ,61 
33 ,30 ,32 ,24 ,75 
67 ,58 ,60 ,67 ,28 
38 ,22 ,21 ,34 ,74 
78 ,76 ,68 ,64 ,17 
37 ,39 ,35 ,46 ,64 
70 ,75 ,76 ,82 ,21 
35 ,38 ,51 ,42 ,46 
27 ,23 ,21 ,21 ,68 
46 ,52 ,39 ,53 ,53 
25 ,20 ,35 ,22 ,70 
72 ,76 ,84 ,65 ,19 
52 ,51 ,55 ,51 ,37 
56 ,49 ,48 ,63 ,39 
46 ,44 ,47 ,36 ,48 
68 ,51 ,57 ,57 ,23 
49 ,67 ,58 ,57 ,43 
64 ,67 ,70 ,59 ,30 
75 ,80 ,77 ,75 ,22 
33 ,38 ,42 ,37 ,63 
55 ,51 ,51 ,51 ,37 
59 ,67 ,57 ,72 ,29 
73 ,74 ,79 ,76 ,20 
37 ,45 ,40 ,45 ,47 
49 ,46 ,45 ,52 ,53 
67 ,69 ,67 ,66 ,32 
32 ,48 ,46 ,44 ,47 
61 ,65 ,73 ,56 ,29 
59 ,53 ,53 ,55 ,40 
43 ,34 ,40 ,41 ,65 
52 ,57 ,60 ,58 ,41 
36 ,30 ,32 ,42 ,60 
71 ,69 ,82 ,69 ,18 
38 ,44 ,45 ,45 ,48 
36 ,43 ,52 ,48 ,50 
74 ,61 ,62 ,71 ,32 
63 ,49 ,55 ,53 ,40 
40 ,36 ,35 ,39 ,63 
20 ,27 ,31 ,23 ,70 
68 ,76 ,82 ,75 ,20 
70 ,64 ,64 ,60 ,30 
73 ,74 ,67 ,78 ,18 
57 ,73 ,59 ,64 ,28 
60 ,55 ,56 ,56 ,42 
51 ,48 ,47 ,44 ,52 
27 ,28 ,40 ,28 ,56 
60 ,64 ,58 ,61 ,26 
55 ,62 ,59 ,50 ,41 
57 ,50 ,50 ,51 ,37 
60 ,56 ,68 ,64 ,27 
72 ,56 ,67 ,63 ,30 
31 ,36 ,33 ,30 ,58 
64 ,66 ,60 ,66 ,29 
76 ,66 ,82 ,64 ,17 
72 ,78 ,73 ,76 ,20 
38 ,56 ,37 ,45 ,49 
23 ,20 ,26 ,24 ,68 
64 ,66 ,67 ,75 ,33 
36 ,28 ,30 ,37 ,58 
46 ,33 ,35 ,45 ,65 
47 ,49 ,38 ,44 ,50 
65 ,64 ,62 ,64 ,29 
38 ,42 ,43 ,47 ,48 
36 ,41 ,52 ,40 ,47 
28 ,28 ,17 ,27 ,70 
49 ,58 ,50 ,53 ,38 
30 ,25 ,22 ,29 ,71 
34 ,26 ,27 ,19 ,72 
74 ,77 ,72 ,83 ,21 
40 ,52 ,36 ,52 ,50 
64 ,66 ,64 ,75 ,32 
40 ,36 ,32 ,25 ,58 
39 ,33 ,24 ,38 ,58 
73 ,75 ,73 ,76 ,19 
29 ,28 ,21 ,26 ,71 
22 ,28 ,24 ,19 ,68 
28 ,28 ,24 ,30 ,72 
75 ,59 ,58 ,68 ,30 
33 ,36 ,37 ,38 ,61 
54 ,62 ,68 ,65 ,27 
32 ,29 ,34 ,33 ,57 
71 ,68 ,57 ,68 ,31 
54 ,34 ,47 ,43 ,50 
52 ,48 ,50 ,49 ,35 
70 ,75 ,76 ,78 ,20 
24 ,30 ,29 ,25 ,72 
75 ,82 ,77 ,71 ,21 
71 ,76 ,71 ,84 ,21 
69 ,63 ,63 ,61 ,29 
52 ,61 ,48 ,58 ,40 
33 ,33 ,24 ,28 ,74 
34 ,34 ,45 ,41 ,44 
78 ,69 ,83 ,74 ,21 
86 ,77 ,78 ,68 ,22 
54 ,55 ,55 ,54 ,39 
41 ,48 ,48 ,55 ,53 
38 ,38 ,37 ,41 ,63 
66 ,69 ,64 ,60 ,30 
42 ,44 ,43 ,41 ,48 
33 ,27 ,34 ,31 ,56 
40 ,33 ,36 ,31 ,60 
70 ,79 ,80 ,74 ,21 
51 ,58 ,54 ,50 ,38 
54 ,49 ,37 ,47 ,52 
33 ,35 ,45 ,31 ,61 
26 ,15 ,22 ,16 ,65 
27 ,28 ,29 ,20 ,71 
59 ,68 ,68 ,71 ,31 
76 ,77 ,75 ,75 ,20 
46 ,51 ,54 ,37 ,52 
41 ,46 ,36 ,48 ,47 
81 ,82 ,67 ,79 ,22 
56 ,53 ,56 ,64 ,42 
41 ,46 ,41 ,43 ,48 
73 ,67 ,72 ,82 ,19 
59 ,51 ,49 ,52 ,38 
71 ,60 ,62 ,64 ,29 
25 ,28 ,30 ,27 ,72 
83 ,76 ,80 ,76 ,24 
29 ,23 ,28 ,22 ,70 
52 ,50 ,56 ,53 ,38 
44 ,36 ,32 ,47 ,65 
44 ,50 ,46 ,44 ,51 
31 ,25 ,21 ,38 ,74 
62 ,57 ,61 ,49 ,42 
22 ,24 ,21 ,31 ,69 
25 ,27 ,28 ,17 ,69 
51 ,52 ,53 ,51 ,37 
40 ,44 ,48 ,45 ,50 
15 ,19 ,29 ,28 ,68 
46 ,56 ,53 ,38 ,53 
43 ,44 ,48 ,43 ,50 
32 ,41 ,32 ,34 ,60 
30 ,23 ,25 ,21 ,70 
24 ,27 ,19 ,18 ,67 
62 ,59 ,53 ,53 ,41 
56 ,60 ,50 ,52 ,39 
26 ,22 ,21 ,33 ,71 
73 ,74 ,65 ,74 ,16 
19 ,15 ,28 ,25 ,67 
75 ,79 ,70 ,73 ,19 
77 ,76 ,76 ,74 ,21 
50 ,54 ,59 ,57 ,40 
40 ,47 ,43 ,41 ,48 
68 ,73 ,78 ,75 ,19 
76 ,80 ,77 ,72 ,21 
62 ,63 ,58 ,65 ,27 
79 ,80 ,74 ,75 ,22 
59 ,50 ,54 ,56 ,40 
42 ,44 ,52 ,42 ,50 
58 ,57 ,54 ,44 ,38 
60 ,61 ,66 ,62 ,28 
26 ,16 ,21 ,27 ,67 
18 ,23 ,21 ,21 ,66 
18 ,26 ,28 ,27 ,70 
73 ,80 ,71 ,78 ,21 
